,Alpha Values,Threshold Values,F1 Score
221,0.85,3036863,0.5475925631654219
222,0.92,3423876,0.5014002191647389
223,0.92,2983698,0.5014002191647389
224,0.88,3442295,0.5316222138020791
225,0.88,3414000,0.5316222138020791
226,0.87,3220476,0.5316222138020791
227,0.93,3359642,0.5014002191647389
228,0.88,3476639,0.5316222138020791
229,0.88,3525240,0.5316222138020791
230,0.92,3381313,0.5014002191647389
231,0.92,3420822,0.5014002191647389
232,0.87,3185041,0.5316222138020791
233,0.93,3544166,0.5014002191647389
234,0.83,3370605,0.5130738187321339
235,0.92,3371565,0.5014002191647389
236,0.85,3114950,0.5475925631654219
237,0.87,3214818,0.5316222138020791
238,0.87,2909125,0.5316222138020791
239,0.83,3421097,0.5130738187321339
240,0.93,3501708,0.5014002191647389
241,0.88,3179996,0.5148955773955773
242,0.78,3024422,0.5015384615384615
243,0.87,3214853,0.5316222138020791
244,0.91,2949702,0.5014002191647389
245,0.88,3529131,0.5316222138020791
246,0.83,3363685,0.5130738187321339
247,0.88,3123478,0.5148955773955773
248,0.93,3542977,0.5014002191647389
249,0.86,3271596,0.5316222138020791
250,0.92,3241803,0.5014002191647389
251,0.86,3504299,0.5335548172757475
252,0.93,3461514,0.5014002191647389
253,0.78,3052145,0.5015384615384615
254,0.89,3499327,0.5008416531228232
255,0.86,3532193,0.5335548172757475
256,0.88,3458315,0.5316222138020791
257,0.88,3458535,0.5316222138020791
258,0.91,3067703,0.5014002191647389
259,0.92,3011572,0.5014002191647389
260,0.92,3426853,0.5014002191647389
261,0.78,2942519,0.5015384615384615
262,0.79,3276808,0.5015384615384615
263,0.82,3106007,0.5130738187321339
264,0.79,3536281,0.5015384615384615
265,0.93,3465355,0.5014002191647389
266,0.78,3055312,0.5015384615384615
267,0.86,3236117,0.5316222138020791
268,0.91,3197395,0.5014002191647389
269,0.85,2989371,0.5475925631654219
270,0.92,3070253,0.5014002191647389
271,0.83,3348829,0.5130738187321339
272,0.92,3449933,0.5014002191647389
273,0.92,3146982,0.5014002191647389
274,0.91,3072851,0.5014002191647389
275,0.93,3538792,0.5014002191647389
276,0.87,3456597,0.5316222138020791
277,0.89,3486743,0.5008416531228232
278,0.86,2981775,0.5316222138020791
279,0.91,3119972,0.5014002191647389
280,0.87,3289698,0.5316222138020791
281,0.89,3210616,0.5008416531228232
282,0.85,3145429,0.5475925631654219
283,0.86,3304205,0.5316222138020791
284,0.86,3447074,0.5335548172757475
285,0.86,2909648,0.5316222138020791
286,0.85,3207124,0.5046098575801455
287,0.87,3134306,0.5316222138020791
288,0.91,3155559,0.5014002191647389
289,0.92,3058364,0.5014002191647389
290,0.83,3494390,0.5130738187321339
291,0.85,2942896,0.5475925631654219
292,0.83,3403817,0.5130738187321339
293,0.92,3061538,0.5014002191647389
294,0.89,3361850,0.5008416531228232
295,0.91,2948702,0.5014002191647389
296,0.92,3039908,0.5014002191647389
297,0.86,3427255,0.5335548172757475
298,0.92,3538901,0.5014002191647389
299,0.87,3282104,0.5316222138020791
300,0.83,3421272,0.5130738187321339
301,0.92,3548061,0.5014002191647389
302,0.79,3528200,0.5015384615384615
303,0.78,2953995,0.5015384615384615
304,0.87,3247720,0.5316222138020791
305,0.87,3518385,0.5316222138020791
306,0.92,2948449,0.5014002191647389
307,0.83,3342532,0.5130738187321339
308,0.88,3519927,0.5316222138020791
309,0.92,3346577,0.5014002191647389
310,0.86,2972442,0.5316222138020791
311,0.79,3442482,0.5015384615384615
312,0.85,3125059,0.5475925631654219
313,0.87,2920314,0.5316222138020791
314,0.87,3285888,0.5316222138020791
315,0.79,3361954,0.5015384615384615
316,0.91,3354330,0.5014002191647389
317,0.86,3356145,0.5316222138020791
318,0.88,3095976,0.5148955773955773
319,0.92,3153608,0.5014002191647389
320,0.88,3388019,0.5316222138020791
321,0.85,3295480,0.5046098575801455
322,0.79,3512558,0.5015384615384615
323,0.82,3103296,0.5130738187321339
324,0.79,3359594,0.5015384615384615
325,0.88,2937469,0.5008416531228232
326,0.85,3166099,0.5475925631654219
327,0.86,3481764,0.5335548172757475
328,0.78,2928945,0.5015384615384615
329,0.92,3167536,0.5014002191647389
330,0.91,3282651,0.5014002191647389
331,0.85,3125723,0.5475925631654219
332,0.88,3153891,0.5148955773955773
333,0.87,2992025,0.5316222138020791
334,0.79,3444206,0.5015384615384615
335,0.87,3372605,0.5316222138020791
336,0.91,3342425,0.5014002191647389
337,0.89,3539704,0.5008416531228232
338,0.91,3327035,0.5014002191647389
339,0.85,3180212,0.5475925631654219
340,0.86,2920039,0.5316222138020791
341,0.85,3323700,0.5046098575801455
342,0.93,3374077,0.5014002191647389
343,0.87,2998528,0.5316222138020791
344,0.92,3249882,0.5014002191647389
345,0.93,3459989,0.5014002191647389
346,0.88,3487601,0.5316222138020791
347,0.85,3019379,0.5475925631654219
348,0.89,3477191,0.5008416531228232
349,0.87,3146695,0.5316222138020791
350,0.78,2922803,0.5015384615384615
351,0.85,3002044,0.5475925631654219
352,0.92,3060976,0.5014002191647389
353,0.86,3544769,0.5335548172757475
354,0.82,3096323,0.5130738187321339
355,0.86,3283000,0.5316222138020791
356,0.88,3438039,0.5316222138020791
357,0.87,3124536,0.5316222138020791
358,0.89,3218778,0.5008416531228232
359,0.79,3358710,0.5015384615384615
360,0.85,3178506,0.5475925631654219
361,0.87,3335165,0.5316222138020791
362,0.82,2983692,0.5130738187321339
363,0.89,3511520,0.5008416531228232
364,0.92,2954283,0.5014002191647389
365,0.92,3463994,0.5014002191647389
366,0.85,3017347,0.5475925631654219
367,0.86,3529897,0.5335548172757475
368,0.86,2964567,0.5316222138020791
369,0.86,3343634,0.5316222138020791
370,0.88,3543043,0.5316222138020791
371,0.87,3385474,0.5316222138020791
372,0.82,3020204,0.5130738187321339
373,0.78,2972225,0.5015384615384615
374,0.89,3373785,0.5008416531228232
375,0.82,3010225,0.5130738187321339
376,0.86,2925021,0.5316222138020791
377,0.91,3219980,0.5014002191647389
378,0.93,3432967,0.5014002191647389
379,0.85,3130250,0.5475925631654219
380,0.87,3498965,0.5316222138020791
381,0.85,3214619,0.5046098575801455
382,0.92,3194922,0.5014002191647389
383,0.82,2997268,0.5130738187321339
384,0.92,3140539,0.5014002191647389
385,0.88,3190941,0.5148955773955773
386,0.82,3128775,0.5130738187321339
387,0.87,3324415,0.5316222138020791
388,0.93,3346675,0.5014002191647389
389,0.89,3453509,0.5008416531228232
390,0.89,3304472,0.5008416531228232
391,0.87,3167783,0.5316222138020791
392,0.88,3358370,0.5148955773955773
393,0.87,2933014,0.5316222138020791
394,0.88,2979273,0.5008416531228232
395,0.87,3433987,0.5316222138020791
396,0.87,3296954,0.5316222138020791
397,0.92,3000394,0.5014002191647389
398,0.85,3237175,0.5046098575801455
399,0.86,3061319,0.5316222138020791
400,0.89,3234739,0.5008416531228232
401,0.82,2925324,0.5130738187321339
402,0.79,3234819,0.5015384615384615
403,0.88,3440639,0.5316222138020791
404,0.88,2987630,0.5008416531228232
405,0.87,3081236,0.5316222138020791
406,0.85,2971877,0.5475925631654219
407,0.85,3171420,0.5475925631654219
408,0.92,2986985,0.5014002191647389
409,0.82,2912239,0.5130738187321339
410,0.78,3024600,0.5015384615384615
411,0.85,3225127,0.5046098575801455
412,0.91,3093980,0.5014002191647389
413,0.93,3542850,0.5014002191647389
414,0.88,3095590,0.5148955773955773
415,0.78,3012562,0.5015384615384615
416,0.93,3483996,0.5014002191647389
